,publisher,dagger,author,isbn,price,date,title,weeks_on_list,no_of_words_title
0,Riverhead,0,Paula Hawkins,1594634025,0,2017-02-19,THE GIRL ON THE TRAIN,102,5
1,Scribner,0,Anthony Doerr,1501173219,0,2017-05-07,ALL THE LIGHT WE CANNOT SEE,81,6
2,Vintage,0,E L James,0525431888,0,2017-03-05,FIFTY SHADES DARKER,66,3
3,St. Martin's,0,Kristin Hannah,1466850604,0,2017-10-29,THE NIGHTINGALE,63,2
4,Penguin Group,0,Kathryn Stockett,1440697663,0,2012-04-08,THE HELP,58,2
5,Washington Square,0,Fredrik Backman,1476738025,0,2017-07-23,A MAN CALLED OVE,56,4
6,Andrews McMeel,0,Rupi Kaur,144947425X,0,2018-03-11,MILK AND HONEY,52,3
7,Bantam,0,George R R Martin,0553897845,0,2017-09-17,A GAME OF THRONES,51,4
8,Berkley,0,Liane Moriarty,0425274861,0,2017-05-21,BIG LITTLE LIES,38,3
9,Ballantine,0,Lisa Wingate,0425284697,0,2018-06-09,BEFORE WE WERE YOURS,35,4
10,Scout,0,Ruth Ware,1501132954,0,2017-10-08,THE WOMAN IN CABIN 10,35,5
11,Penguin Press,0,Celeste Ng,0735224307,0,2018-06-09,LITTLE FIRES EVERYWHERE,31,3
12,Knopf Doubleday Publishing,0,Stieg Larsson,0307272117,0,2013-01-13,THE GIRL WITH THE DRAGON TATTOO,31,6
13,Houghton Mifflin Harcourt,0,Margaret Atwood,038549081X,0,2018-06-03,THE HANDMAID'S TALE,27,3
14,Doubleday,0,John Grisham,1101967684,0,2017-09-24,THE WHISTLER,25,2
15,Grand Central,0,Nicholas Sparks,1455520667,0,2015-05-17,THE LONGEST RIDE,25,3
16,Broadway,0,Ernest Cline,0307887448,0,2018-05-20,READY PLAYER ONE,24,3
17,Doubleday,0,John Grisham,1524797154,0,2018-05-27,CAMINO ISLAND,23,2
18,Dell,0,Diana Gabaldon,0440335167,0,2017-09-24,OUTLANDER,21,1
19,Penguin Group,0,Sylvia Day,None,0,2013-02-10,BARED TO YOU,21,3
20,Andrews McMeel,0,Rupi Kaur,1449486797,0,2018-04-01,THE SUN AND HER FLOWERS,20,5
